MASV1,LA1003,MI1003,PE1003,CH1003,MT1003,PH1003,LA1005,PE1005,MT1005,MT1007,LA1007,MT1009,LA1009,MT2001,PE1007,SP1007,SP1003,SP1005,SP1009
60474550.0,12.0,,5.0,,5.5,5.5,12.0,7.0,7.0,7.0,12.0,,12.0,,,7.0,,,
60476926.0,,,,,0.5,,,,,,,,,,,,,,
60477985.0,,,7.0,7.5,7.5,7.0,,5.0,,8.5,,,,,,,,,
60485631.0,,,5.0,,,,,,,,,,,,,,,,
60494287.0,12.0,,13.0,7.0,7.5,7.0,12.0,7.0,6.5,8.0,12.0,,7.0,,,,,,
60511675.0,10.0,,7.0,9.5,8.0,8.0,10.0,8.0,,7,10.0,,10.0,,13.0,,8.5,8.0,7.0
60513295.0,,,8.0,5.0,,,,5.0,,,,,,7.0,,6.5,5.0,5.5,
60513944.0,,,6.0,2.5,VT,5.0,,3.0,,2.0,,,,,,,,,
60523209.0,10.0,DT,5.0,6.0,4.5,6.0,10.0,6.0,6.5,5.5,10.0,6.5,9.5,5.0,6.0,,7.5,7.5,8.5
60525926.0,5.5,,8.0,6.0,6.0,3.0,,8.0,4.5,6.0,,,,,,,,,
60531402.0,7.5,,13.0,,6.0,6.0,6.5,8.0,5.0,7.5,,,,,,,,,
60532379.0,10.0,,6.0,6.0,2.0,5.5,8.0,6.0,2.0,3.5,5.0,,7.5,,5.0,5.5,5.5,5.5,6.5
60533165.0,5.5,,7.0,,4.5,6.5,5.0,7.0,6.0,6.5,,,,,,,,,
60534227.0,,,7.0,5.5,5.5,5.0,,6.0,2.5,7.5,,4.5,,4.5,8.0,7.5,8.0,6.5,
60535717.0,7.5,DT,5.0,6.0,6.5,6.0,7.5,6.0,7.5,6.5,6.5,,5.5,,5.0,5.5,7.5,7.5,7.0
60537727.0,7.0,,9.0,6.0,5.0,6.5,4.5,6.0,,8.0,4.5,7.5,,5.0,2.0,,7.0,7.0,
60544400.0,10.0,DT,7,8.5,8,8.0,10.0,6.0,8.5,8.5,10.0,9.5,10.0,,7.0,9.0,8.0,13.0,8.0
60545635.0,10.0,DT,7,8.0,8.5,8.0,10.0,6.0,9.5,7.5,10.0,10.0,8.0,7.5,5.0,,9.0,6.5,5.5
60545684.0,6.0,,5.0,7.5,4.5,4.5,4.5,7.0,6.5,7.0,,,,,,,,,
60546023.0,,,6.0,8.0,6.5,6.5,,9.0,7.5,8.0,,8.5,,,,,,,
60550263.0,,,8.0,7.0,6.0,6.0,,7.0,,7.5,,,,,,,,,
60554650.0,,,7.0,7.0,8.0,6.5,,7.0,7.5,8.5,,,,,,,,,
60555982.0,,,5.0,13.0,1.0,2.5,,13.0,13.0,4.5,,,,,,,,,
60557167.0,4.0,,7.0,7.0,4.5,5.0,,6.0,,7.5,,6.5,,5.0,6.0,6.0,8.5,7.0,
60561059.0,12.0,,7.0,6.0,5.0,6.5,7.0,6.0,7.0,7.0,5.5,8.0,,,,,,,
60577781.0,7.5,,7.0,5.0,1.5,5.5,6.0,5.0,,5,13.0,7.5,6.0,5.0,2.0,5.5,,4.5,5.0
60580436.0,12.0,,7.0,6.5,5.5,6.0,12.0,5.0,7.5,,7.5,,7.0,,,,5.5,,
60586464.0,,,,,,,,,,,,,,13.0,,,,,
60606606.0,5.0,,6.0,5.0,4.5,5.5,5.5,8.0,,5,6.5,6.5,,7.0,7.0,6.0,5.5,5.0,7.5
60607804.0,8.0,KD,VT,,VT,0.0,1.0,,,VT,,,,,,,,,
60609261.0,4.5,,8.0,6.5,5.0,6.0,6.5,6.0,4.5,6.0,,6.5,,,,,,,
60617130.0,6.0,,6.0,8.0,7.0,5.5,,5.0,2.0,8.5,,8.5,,5.0,1.0,6.0,,,
60618188.0,7.5,DT,5.0,6.5,6.0,7.0,8.0,5.0,9.0,8,6.5,,6.0,,5.0,6.0,7.5,7.0,6.0
60618562.0,,,,,,,,,,,,,,,13.0,,,,
60632584.0,,,,,,,,,,,,,,2.0,,,,,
60639247.0,8.0,,8.0,9.5,10.0,9.5,7.5,6.0,9.5,9.5,,7.5,,8.5,7.0,8.5,9.0,,
60640664.0,,,8.0,8.0,,,,5.0,8.5,,,,,,6.0,,,,
60644248.0,,,4.0,6.0,9.0,6.5,,4.0,,8.5,,,,,,4.0,,,6.0
60645682.0,10.0,DT,7.0,8.5,6.5,7.0,8.5,7.0,6.5,8.5,6.0,,6.5,4.5,3.0,,8.0,7.5,7.5
60664017.0,5.5,,5.0,6.0,4.5,6.5,13.0,5.0,5.5,8.0,3.5,6.5,,7.5,7.0,7.5,8.0,7.0,6.0
60669841.0,6.5,DT,6.0,7.5,8.0,8.0,0.0,7.0,7.0,8.5,0.0,7.5,,6.0,5.0,7.0,7.5,7.0,7.0
60670313.0,,,,,,,,,,,,,,,,,9.0,,
60682839.0,,,6.0,6.5,6.5,4.5,,,,,,,,,,,,,
60684872.0,7.5,DT,5.0,0.0,6.0,4.5,7.0,13.0,5.0,8,6.5,1.5,8.0,2.0,6.0,,8.0,11.0,
60693819.0,4.0,,7.0,7.5,6.0,4.5,5.0,5.0,5.5,7.5,,,,,5.0,8.0,6.5,5.0,
60698024.0,,DT,8.0,5.0,13.0,5.0,2.5,6.0,,5,0.0,6.5,,,5.0,,6.0,5.5,5.0
60700757.0,,,,23.0,,,,,,,,,,,,,,,
60707200.0,6.5,DT,6.0,7.5,8.0,6.5,6.0,8.0,7.0,8,6.0,6.0,3.5,4.0,5.0,,,5.5,6.0
60708554.0,7.0,,6.0,8.0,7.0,6.0,,5.0,8.5,7.5,,,,,,,,,
60709920.0,,,5.0,5.5,1.5,5.0,,5.0,2.0,6.0,,,,5.0,6.0,6.0,,,
60712549.0,5.0,,5.0,5.5,4.5,5.0,5.5,5.0,2.5,2.0,4.5,6.0,,5.0,6.0,7.0,6.0,,
60722864.0,12.0,,8.0,7.5,6.5,6.5,7.0,5.0,8.5,8.0,7.5,6.5,,,,,,,
60726390.0,9.5,,5.0,6.5,7.0,7.5,8.0,5.0,,7.5,8.0,5.5,8.5,6.0,5.0,,,6.0,7.5
60738367.0,12.0,,7.0,7.0,8.0,5.0,7.0,6.0,6.5,8.0,7.5,,,,,,,,
60739722.0,12.0,12.0,12.0,12.0,7.5,8.0,12.0,12.0,8.7,8.8,12.0,5.8,12.0,7.5,12.0,12.0,6.2,7.5,6.5
60740627.0,2.5,DT,6.0,5.5,0.0,2.5,,6.0,7.0,5,,5.5,,5.0,7.0,,4.5,7.5,5.5
60744799.0,5.5,,6.0,6.0,7.5,,3.5,5.0,,9.5,0.0,8.0,,0.0,6.0,6.5,13.0,6.5,6.5
60748609.0,5.5,,6.0,5.5,4.0,5.0,5.5,5.0,1.0,6.0,13.0,6.5,6.0,3.5,5.0,,12.0,7.5,7.0
60760786.0,,,7.0,4.5,,,,8.0,,,,7.5,,13.0,,,,,
